group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(4, 7)",pow_std_2opt,,,,1004254.0,ns,614368
"pow(4, 7)",pow_std_2opt,,,,1970667.0,ns,1228736
"pow(4, 7)",pow_std_2opt,,,,2962651.0,ns,1843104
"pow(4, 7)",pow_std_2opt,,,,3941516.0,ns,2457472
"pow(4, 7)",pow_std_2opt,,,,5103541.0,ns,3071840
"pow(4, 7)",pow_std_2opt,,,,5945783.0,ns,3686208
"pow(4, 7)",pow_std_2opt,,,,7010569.0,ns,4300576
"pow(4, 7)",pow_std_2opt,,,,8127371.0,ns,4914944
"pow(4, 7)",pow_std_2opt,,,,8872310.0,ns,5529312
"pow(4, 7)",pow_std_2opt,,,,9872018.0,ns,6143680
"pow(4, 7)",pow_std_2opt,,,,10922747.0,ns,6758048
"pow(4, 7)",pow_std_2opt,,,,11823121.0,ns,7372416
"pow(4, 7)",pow_std_2opt,,,,12802299.0,ns,7986784
"pow(4, 7)",pow_std_2opt,,,,13727285.0,ns,8601152
"pow(4, 7)",pow_std_2opt,,,,14804746.0,ns,9215520
"pow(4, 7)",pow_std_2opt,,,,15787577.0,ns,9829888
"pow(4, 7)",pow_std_2opt,,,,16740371.0,ns,10444256
"pow(4, 7)",pow_std_2opt,,,,17628709.0,ns,11058624
"pow(4, 7)",pow_std_2opt,,,,18829603.0,ns,11672992
"pow(4, 7)",pow_std_2opt,,,,19696653.0,ns,12287360
"pow(4, 7)",pow_std_2opt,,,,20763817.0,ns,12901728
"pow(4, 7)",pow_std_2opt,,,,21538985.0,ns,13516096
"pow(4, 7)",pow_std_2opt,,,,22514625.0,ns,14130464
"pow(4, 7)",pow_std_2opt,,,,23659390.0,ns,14744832
"pow(4, 7)",pow_std_2opt,,,,26208463.0,ns,15359200
"pow(4, 7)",pow_std_2opt,,,,25719601.0,ns,15973568
"pow(4, 7)",pow_std_2opt,,,,26610610.0,ns,16587936
"pow(4, 7)",pow_std_2opt,,,,27575791.0,ns,17202304
"pow(4, 7)",pow_std_2opt,,,,28578625.0,ns,17816672
"pow(4, 7)",pow_std_2opt,,,,29541980.0,ns,18431040
