group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(4, 7)",u32::pow,,,,1004142.0,ns,382048
"pow(4, 7)",u32::pow,,,,1963826.0,ns,764096
"pow(4, 7)",u32::pow,,,,2947149.0,ns,1146144
"pow(4, 7)",u32::pow,,,,3928911.0,ns,1528192
"pow(4, 7)",u32::pow,,,,5010737.0,ns,1910240
"pow(4, 7)",u32::pow,,,,5978455.0,ns,2292288
"pow(4, 7)",u32::pow,,,,6875296.0,ns,2674336
"pow(4, 7)",u32::pow,,,,8027273.0,ns,3056384
"pow(4, 7)",u32::pow,,,,8958751.0,ns,3438432
"pow(4, 7)",u32::pow,,,,9864897.0,ns,3820480
"pow(4, 7)",u32::pow,,,,10825694.0,ns,4202528
"pow(4, 7)",u32::pow,,,,11786889.0,ns,4584576
"pow(4, 7)",u32::pow,,,,12903284.0,ns,4966624
"pow(4, 7)",u32::pow,,,,13814849.0,ns,5348672
"pow(4, 7)",u32::pow,,,,14803029.0,ns,5730720
"pow(4, 7)",u32::pow,,,,15715268.0,ns,6112768
"pow(4, 7)",u32::pow,,,,16701810.0,ns,6494816
"pow(4, 7)",u32::pow,,,,17680323.0,ns,6876864
"pow(4, 7)",u32::pow,,,,18660985.0,ns,7258912
"pow(4, 7)",u32::pow,,,,19668867.0,ns,7640960
"pow(4, 7)",u32::pow,,,,21245393.0,ns,8023008
"pow(4, 7)",u32::pow,,,,21798986.0,ns,8405056
"pow(4, 7)",u32::pow,,,,22668776.0,ns,8787104
"pow(4, 7)",u32::pow,,,,23660710.0,ns,9169152
"pow(4, 7)",u32::pow,,,,24556231.0,ns,9551200
"pow(4, 7)",u32::pow,,,,25536806.0,ns,9933248
"pow(4, 7)",u32::pow,,,,26539855.0,ns,10315296
"pow(4, 7)",u32::pow,,,,27524949.0,ns,10697344
"pow(4, 7)",u32::pow,,,,28508131.0,ns,11079392
"pow(4, 7)",u32::pow,,,,29572407.0,ns,11461440
"pow(4, 7)",u32::pow,,,,30557329.0,ns,11843488
"pow(4, 7)",u32::pow,,,,31635518.0,ns,12225536
"pow(4, 7)",u32::pow,,,,32479173.0,ns,12607584
"pow(4, 7)",u32::pow,,,,33395332.0,ns,12989632
"pow(4, 7)",u32::pow,,,,34401135.0,ns,13371680
"pow(4, 7)",u32::pow,,,,35359209.0,ns,13753728
"pow(4, 7)",u32::pow,,,,36360818.0,ns,14135776
"pow(4, 7)",u32::pow,,,,37346962.0,ns,14517824
"pow(4, 7)",u32::pow,,,,38444019.0,ns,14899872
"pow(4, 7)",u32::pow,,,,39735241.0,ns,15281920
"pow(4, 7)",u32::pow,,,,41000947.0,ns,15663968
"pow(4, 7)",u32::pow,,,,41322937.0,ns,16046016
"pow(4, 7)",u32::pow,,,,42254192.0,ns,16428064
"pow(4, 7)",u32::pow,,,,43246276.0,ns,16810112
"pow(4, 7)",u32::pow,,,,44284665.0,ns,17192160
"pow(4, 7)",u32::pow,,,,45305774.0,ns,17574208
"pow(4, 7)",u32::pow,,,,46383579.0,ns,17956256
"pow(4, 7)",u32::pow,,,,47196673.0,ns,18338304
"pow(4, 7)",u32::pow,,,,48139401.0,ns,18720352
"pow(4, 7)",u32::pow,,,,50902488.0,ns,19102400
"pow(4, 7)",u32::pow,,,,50225563.0,ns,19484448
"pow(4, 7)",u32::pow,,,,51119487.0,ns,19866496
"pow(4, 7)",u32::pow,,,,52062979.0,ns,20248544
"pow(4, 7)",u32::pow,,,,53158817.0,ns,20630592
"pow(4, 7)",u32::pow,,,,54138333.0,ns,21012640
"pow(4, 7)",u32::pow,,,,55150697.0,ns,21394688
"pow(4, 7)",u32::pow,,,,56153111.0,ns,21776736
"pow(4, 7)",u32::pow,,,,57133478.0,ns,22158784
"pow(4, 7)",u32::pow,,,,58014484.0,ns,22540832
"pow(4, 7)",u32::pow,,,,58966300.0,ns,22922880
"pow(4, 7)",u32::pow,,,,60543514.0,ns,23304928
"pow(4, 7)",u32::pow,,,,60916639.0,ns,23686976
"pow(4, 7)",u32::pow,,,,61907858.0,ns,24069024
"pow(4, 7)",u32::pow,,,,63010964.0,ns,24451072
"pow(4, 7)",u32::pow,,,,63849908.0,ns,24833120
"pow(4, 7)",u32::pow,,,,64870348.0,ns,25215168
"pow(4, 7)",u32::pow,,,,66629657.0,ns,25597216
"pow(4, 7)",u32::pow,,,,67161150.0,ns,25979264
"pow(4, 7)",u32::pow,,,,67795358.0,ns,26361312
"pow(4, 7)",u32::pow,,,,68816907.0,ns,26743360
"pow(4, 7)",u32::pow,,,,69919008.0,ns,27125408
"pow(4, 7)",u32::pow,,,,70988394.0,ns,27507456
"pow(4, 7)",u32::pow,,,,72017474.0,ns,27889504
"pow(4, 7)",u32::pow,,,,72876762.0,ns,28271552
"pow(4, 7)",u32::pow,,,,74061139.0,ns,28653600
"pow(4, 7)",u32::pow,,,,75850993.0,ns,29035648
"pow(4, 7)",u32::pow,,,,75796954.0,ns,29417696
"pow(4, 7)",u32::pow,,,,76782493.0,ns,29799744
