group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(7, 11)",pow_alt_01opt,,,,963754.0,ns,240875
"pow(7, 11)",pow_alt_01opt,,,,1857244.0,ns,481750
"pow(7, 11)",pow_alt_01opt,,,,2837628.0,ns,722625
"pow(7, 11)",pow_alt_01opt,,,,3762410.0,ns,963500
"pow(7, 11)",pow_alt_01opt,,,,4707531.0,ns,1204375
"pow(7, 11)",pow_alt_01opt,,,,5685471.0,ns,1445250
"pow(7, 11)",pow_alt_01opt,,,,6557609.0,ns,1686125
"pow(7, 11)",pow_alt_01opt,,,,8173645.0,ns,1927000
"pow(7, 11)",pow_alt_01opt,,,,9062293.0,ns,2167875
"pow(7, 11)",pow_alt_01opt,,,,9415798.0,ns,2408750
"pow(7, 11)",pow_alt_01opt,,,,10985921.0,ns,2649625
"pow(7, 11)",pow_alt_01opt,,,,11444993.0,ns,2890500
"pow(7, 11)",pow_alt_01opt,,,,12710463.0,ns,3131375
"pow(7, 11)",pow_alt_01opt,,,,13173993.0,ns,3372250
"pow(7, 11)",pow_alt_01opt,,,,14174682.0,ns,3613125
"pow(7, 11)",pow_alt_01opt,,,,16463325.0,ns,3854000
"pow(7, 11)",pow_alt_01opt,,,,16698377.0,ns,4094875
"pow(7, 11)",pow_alt_01opt,,,,17925505.0,ns,4335750
"pow(7, 11)",pow_alt_01opt,,,,18077532.0,ns,4576625
"pow(7, 11)",pow_alt_01opt,,,,19490511.0,ns,4817500
"pow(7, 11)",pow_alt_01opt,,,,20765910.0,ns,5058375
"pow(7, 11)",pow_alt_01opt,,,,21652489.0,ns,5299250
"pow(7, 11)",pow_alt_01opt,,,,22244441.0,ns,5540125
"pow(7, 11)",pow_alt_01opt,,,,23830400.0,ns,5781000
"pow(7, 11)",pow_alt_01opt,,,,24906776.0,ns,6021875
"pow(7, 11)",pow_alt_01opt,,,,25206656.0,ns,6262750
"pow(7, 11)",pow_alt_01opt,,,,27377425.0,ns,6503625
"pow(7, 11)",pow_alt_01opt,,,,27575995.0,ns,6744500
"pow(7, 11)",pow_alt_01opt,,,,29948963.0,ns,6985375
"pow(7, 11)",pow_alt_01opt,,,,30487117.0,ns,7226250
"pow(7, 11)",pow_alt_01opt,,,,30286806.0,ns,7467125
"pow(7, 11)",pow_alt_01opt,,,,31456095.0,ns,7708000
"pow(7, 11)",pow_alt_01opt,,,,32475772.0,ns,7948875
"pow(7, 11)",pow_alt_01opt,,,,33661000.0,ns,8189750
"pow(7, 11)",pow_alt_01opt,,,,34175158.0,ns,8430625
"pow(7, 11)",pow_alt_01opt,,,,36211623.0,ns,8671500
"pow(7, 11)",pow_alt_01opt,,,,37619151.0,ns,8912375
"pow(7, 11)",pow_alt_01opt,,,,38413635.0,ns,9153250
"pow(7, 11)",pow_alt_01opt,,,,39363998.0,ns,9394125
"pow(7, 11)",pow_alt_01opt,,,,40308951.0,ns,9635000
"pow(7, 11)",pow_alt_01opt,,,,41368403.0,ns,9875875
"pow(7, 11)",pow_alt_01opt,,,,42390131.0,ns,10116750
"pow(7, 11)",pow_alt_01opt,,,,43802017.0,ns,10357625
"pow(7, 11)",pow_alt_01opt,,,,44296916.0,ns,10598500
"pow(7, 11)",pow_alt_01opt,,,,44963526.0,ns,10839375
"pow(7, 11)",pow_alt_01opt,,,,45945438.0,ns,11080250
"pow(7, 11)",pow_alt_01opt,,,,48309505.0,ns,11321125
"pow(7, 11)",pow_alt_01opt,,,,47970253.0,ns,11562000
"pow(7, 11)",pow_alt_01opt,,,,49066584.0,ns,11802875
"pow(7, 11)",pow_alt_01opt,,,,51220707.0,ns,12043750
"pow(7, 11)",pow_alt_01opt,,,,51006558.0,ns,12284625
"pow(7, 11)",pow_alt_01opt,,,,55908496.0,ns,12525500
"pow(7, 11)",pow_alt_01opt,,,,52845342.0,ns,12766375
"pow(7, 11)",pow_alt_01opt,,,,53699596.0,ns,13007250
"pow(7, 11)",pow_alt_01opt,,,,54491658.0,ns,13248125
"pow(7, 11)",pow_alt_01opt,,,,55485463.0,ns,13489000
"pow(7, 11)",pow_alt_01opt,,,,56281612.0,ns,13729875
"pow(7, 11)",pow_alt_01opt,,,,55639265.0,ns,13970750
"pow(7, 11)",pow_alt_01opt,,,,58615517.0,ns,14211625
"pow(7, 11)",pow_alt_01opt,,,,59398650.0,ns,14452500
