group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(7, 11)",pow_alt_2opt_inline,,,,1028040.0,ns,301760
"pow(7, 11)",pow_alt_2opt_inline,,,,2062439.0,ns,603520
"pow(7, 11)",pow_alt_2opt_inline,,,,3081443.0,ns,905280
"pow(7, 11)",pow_alt_2opt_inline,,,,4443133.0,ns,1207040
"pow(7, 11)",pow_alt_2opt_inline,,,,5042612.0,ns,1508800
"pow(7, 11)",pow_alt_2opt_inline,,,,6050609.0,ns,1810560
"pow(7, 11)",pow_alt_2opt_inline,,,,6951123.0,ns,2112320
"pow(7, 11)",pow_alt_2opt_inline,,,,8215078.0,ns,2414080
"pow(7, 11)",pow_alt_2opt_inline,,,,8790388.0,ns,2715840
"pow(7, 11)",pow_alt_2opt_inline,,,,10196397.0,ns,3017600
"pow(7, 11)",pow_alt_2opt_inline,,,,10360818.0,ns,3319360
"pow(7, 11)",pow_alt_2opt_inline,,,,11170366.0,ns,3621120
"pow(7, 11)",pow_alt_2opt_inline,,,,12106353.0,ns,3922880
"pow(7, 11)",pow_alt_2opt_inline,,,,13471026.0,ns,4224640
"pow(7, 11)",pow_alt_2opt_inline,,,,14250418.0,ns,4526400
"pow(7, 11)",pow_alt_2opt_inline,,,,15672859.0,ns,4828160
"pow(7, 11)",pow_alt_2opt_inline,,,,16231263.0,ns,5129920
"pow(7, 11)",pow_alt_2opt_inline,,,,16757076.0,ns,5431680
"pow(7, 11)",pow_alt_2opt_inline,,,,17687366.0,ns,5733440
"pow(7, 11)",pow_alt_2opt_inline,,,,18620285.0,ns,6035200
"pow(7, 11)",pow_alt_2opt_inline,,,,19548708.0,ns,6336960
"pow(7, 11)",pow_alt_2opt_inline,,,,21206268.0,ns,6638720
"pow(7, 11)",pow_alt_2opt_inline,,,,22974324.0,ns,6940480
"pow(7, 11)",pow_alt_2opt_inline,,,,22977006.0,ns,7242240
"pow(7, 11)",pow_alt_2opt_inline,,,,23083481.0,ns,7544000
"pow(7, 11)",pow_alt_2opt_inline,,,,25945323.0,ns,7845760
"pow(7, 11)",pow_alt_2opt_inline,,,,24717764.0,ns,8147520
"pow(7, 11)",pow_alt_2opt_inline,,,,26660263.0,ns,8449280
"pow(7, 11)",pow_alt_2opt_inline,,,,27232380.0,ns,8751040
"pow(7, 11)",pow_alt_2opt_inline,,,,27719951.0,ns,9052800
"pow(7, 11)",pow_alt_2opt_inline,,,,28969787.0,ns,9354560
"pow(7, 11)",pow_alt_2opt_inline,,,,29427542.0,ns,9656320
"pow(7, 11)",pow_alt_2opt_inline,,,,32254927.0,ns,9958080
"pow(7, 11)",pow_alt_2opt_inline,,,,31741628.0,ns,10259840
"pow(7, 11)",pow_alt_2opt_inline,,,,31632532.0,ns,10561600
"pow(7, 11)",pow_alt_2opt_inline,,,,33689400.0,ns,10863360
"pow(7, 11)",pow_alt_2opt_inline,,,,35344967.0,ns,11165120
"pow(7, 11)",pow_alt_2opt_inline,,,,35212059.0,ns,11466880
"pow(7, 11)",pow_alt_2opt_inline,,,,37010971.0,ns,11768640
"pow(7, 11)",pow_alt_2opt_inline,,,,37620342.0,ns,12070400
"pow(7, 11)",pow_alt_2opt_inline,,,,38750216.0,ns,12372160
"pow(7, 11)",pow_alt_2opt_inline,,,,39722170.0,ns,12673920
"pow(7, 11)",pow_alt_2opt_inline,,,,40497923.0,ns,12975680
"pow(7, 11)",pow_alt_2opt_inline,,,,41578056.0,ns,13277440
"pow(7, 11)",pow_alt_2opt_inline,,,,41255158.0,ns,13579200
"pow(7, 11)",pow_alt_2opt_inline,,,,44084057.0,ns,13880960
"pow(7, 11)",pow_alt_2opt_inline,,,,44967315.0,ns,14182720
"pow(7, 11)",pow_alt_2opt_inline,,,,45999435.0,ns,14484480
"pow(7, 11)",pow_alt_2opt_inline,,,,45916905.0,ns,14786240
"pow(7, 11)",pow_alt_2opt_inline,,,,47732158.0,ns,15088000
"pow(7, 11)",pow_alt_2opt_inline,,,,47896577.0,ns,15389760
"pow(7, 11)",pow_alt_2opt_inline,,,,48616717.0,ns,15691520
"pow(7, 11)",pow_alt_2opt_inline,,,,50853124.0,ns,15993280
"pow(7, 11)",pow_alt_2opt_inline,,,,50507852.0,ns,16295040
"pow(7, 11)",pow_alt_2opt_inline,,,,50938513.0,ns,16596800
"pow(7, 11)",pow_alt_2opt_inline,,,,52138568.0,ns,16898560
"pow(7, 11)",pow_alt_2opt_inline,,,,53964888.0,ns,17200320
"pow(7, 11)",pow_alt_2opt_inline,,,,54963438.0,ns,17502080
"pow(7, 11)",pow_alt_2opt_inline,,,,55563846.0,ns,17803840
"pow(7, 11)",pow_alt_2opt_inline,,,,57438758.0,ns,18105600
"pow(7, 11)",pow_alt_2opt_inline,,,,57113354.0,ns,18407360
"pow(7, 11)",pow_alt_2opt_inline,,,,57762169.0,ns,18709120
"pow(7, 11)",pow_alt_2opt_inline,,,,60864522.0,ns,19010880
"pow(7, 11)",pow_alt_2opt_inline,,,,60458846.0,ns,19312640
"pow(7, 11)",pow_alt_2opt_inline,,,,62440490.0,ns,19614400
"pow(7, 11)",pow_alt_2opt_inline,,,,63485542.0,ns,19916160
"pow(7, 11)",pow_alt_2opt_inline,,,,64346254.0,ns,20217920
"pow(7, 11)",pow_alt_2opt_inline,,,,65647484.0,ns,20519680
"pow(7, 11)",pow_alt_2opt_inline,,,,65747612.0,ns,20821440
"pow(7, 11)",pow_alt_2opt_inline,,,,67581713.0,ns,21123200
"pow(7, 11)",pow_alt_2opt_inline,,,,67046797.0,ns,21424960
"pow(7, 11)",pow_alt_2opt_inline,,,,70671537.0,ns,21726720
"pow(7, 11)",pow_alt_2opt_inline,,,,70775242.0,ns,22028480
"pow(7, 11)",pow_alt_2opt_inline,,,,70474158.0,ns,22330240
"pow(7, 11)",pow_alt_2opt_inline,,,,70586771.0,ns,22632000
"pow(7, 11)",pow_alt_2opt_inline,,,,74077736.0,ns,22933760
"pow(7, 11)",pow_alt_2opt_inline,,,,74140750.0,ns,23235520
"pow(7, 11)",pow_alt_2opt_inline,,,,74832415.0,ns,23537280
"pow(7, 11)",pow_alt_2opt_inline,,,,75043579.0,ns,23839040
"pow(7, 11)",pow_alt_2opt_inline,,,,81233003.0,ns,24140800
"pow(7, 11)",pow_alt_2opt_inline,,,,80792047.0,ns,24442560
"pow(7, 11)",pow_alt_2opt_inline,,,,81051868.0,ns,24744320
"pow(7, 11)",pow_alt_2opt_inline,,,,81360398.0,ns,25046080
"pow(7, 11)",pow_alt_2opt_inline,,,,83715699.0,ns,25347840
"pow(7, 11)",pow_alt_2opt_inline,,,,85532519.0,ns,25649600
"pow(7, 11)",pow_alt_2opt_inline,,,,86244663.0,ns,25951360
"pow(7, 11)",pow_alt_2opt_inline,,,,85467360.0,ns,26253120
"pow(7, 11)",pow_alt_2opt_inline,,,,87261589.0,ns,26554880
"pow(7, 11)",pow_alt_2opt_inline,,,,88025709.0,ns,26856640
"pow(7, 11)",pow_alt_2opt_inline,,,,88732875.0,ns,27158400
"pow(7, 11)",pow_alt_2opt_inline,,,,90601424.0,ns,27460160
"pow(7, 11)",pow_alt_2opt_inline,,,,89088855.0,ns,27761920
"pow(7, 11)",pow_alt_2opt_inline,,,,86612595.0,ns,28063680
"pow(7, 11)",pow_alt_2opt_inline,,,,88424098.0,ns,28365440
"pow(7, 11)",pow_alt_2opt_inline,,,,92752516.0,ns,28667200
"pow(7, 11)",pow_alt_2opt_inline,,,,89314822.0,ns,28968960
"pow(7, 11)",pow_alt_2opt_inline,,,,91801889.0,ns,29270720
"pow(7, 11)",pow_alt_2opt_inline,,,,95037066.0,ns,29572480
"pow(7, 11)",pow_alt_2opt_inline,,,,97216456.0,ns,29874240
"pow(7, 11)",pow_alt_2opt_inline,,,,97843397.0,ns,30176000
